school_name,district,address,school_type,lat,lng
市立雨農國小,士林區,臺北市士林區忠義街1號,regular,25.1049797,121.5296853
市立天母國小,士林區,臺北市士林區天玉街12號,regular,25.1199461,121.5272935
市立芝山國小,士林區,臺北市士林區德行東路285號,regular,25.1109119,121.5366881
市立蘭雅國小,士林區,臺北市士林區磺溪街57號,regular,25.1083734,121.5228937
市立三玉國小,士林區,臺北市士林區天母東路116號,regular,25.1173993,121.5371423
市立北投國小,北投區,臺北市北投區中央北路1段73號,regular,25.1328975,121.475307
市立逸仙國小,北投區,臺北市北投區新民路2號,regular,25.1378856,121.5054173
市立石牌國小,北投區,臺北市北投區致遠二路80號,regular,25.1156659,121.5117766
市立關渡國小,北投區,臺北市北投區中央北路4段581號,regular,25.1261579,121.4665066
市立湖田實驗國小,北投區,臺北市北投區竹子湖路17之2號,regular,25.1683218,121.5399379
市立清江國小,北投區,臺北市北投區公館路220號,regular,25.126696,121.5070921
市立泉源實驗國小,北投區,臺北市北投區東昇路34號,regular,25.1493069,121.5242879
市立大屯國小,北投區,臺北市北投區復興三路312號,regular,25.1551929,121.5040789
市立湖山國小,北投區,臺北市北投區湖底路11號,regular,25.1500194,121.5358406
市立文林國小,北投區,臺北市北投區文林北路155號,regular,25.1055278,121.5146969
市立立農國小,北投區,臺北市北投區立農街1段250號,regular,25.1201382,121.5042685
市立明德國小,北投區,臺北市北投區明德路190號,regular,25.1119663,121.5225482
市立文化國小,北投區,臺北市北投區文化三路1號,regular,25.137304,121.4962327
國立師大附中,大安區,臺北市大安區信義路3段143號,regular,25.0352821,121.5405685
市立和平高中,大安區,臺北市大安區臥龍街100號,regular,25.0196357,121.5491776
市立芳和實中,大安區,臺北市大安區臥龍街170號,regular,25.0183879,121.5496667
市立大安高工,大安區,臺北市大安區復興南路2段52號,regular,25.0317172,121.542402
市立中山女中,中山區,臺北市中山區長安東路2段141號,regular,25.049564,121.521914
市立大同高中,中山區,臺北市中山區長春路167號,regular,25.0550022,121.5352403
市立大直高中,中山區,臺北市中山區北安路420號,regular,25.0787862,121.5430661
市立景美女中,文山區,臺北市文山區木新路三段312號,regular,24.9806925,121.5560317
市立萬芳高中,文山區,臺北市文山區興隆路三段115巷1號,regular,25.0013267,121.5594778
市立木柵高工,文山區,臺北市文山區木柵路四段77號,regular,24.9966074,121.571785
市立內湖高中,內湖區,臺北市內湖區文德路218號,regular,25.0778104,121.5865841
市立麗山高中,內湖區,臺北市內湖區環山路二段100號,regular,25.0851252,121.5780273
市立南湖高中,內湖區,臺北市內湖區康寧路三段220號,regular,25.0664149,121.6100378
市立內湖高工,內湖區,臺北市內湖區內湖路1段520號,regular,25.0823089,121.5683655
市立陽明高中,士林區,臺北市士林區中正路510號,regular,25.0923752,121.5170529
市立百齡高中,士林區,臺北市士林區承德路4段177號,regular,25.0866411,121.5237972
市立士林高商,士林區,臺北市士林區士商路150號,regular,25.0942954,121.5158813
市立復興高中,北投區,臺北市北投區復興四路70號,regular,25.1437265,121.5020882
市立中正高中,北投區,臺北市北投區文林北路77號,regular,25.1030785,121.515946
